Country,Year,Currency is Euro,Previous Year Currency is Euro
Estonia,2017,1,1
Estonia,2018,1,1
Estonia,2019,1,1
Finland,2004,1,1
Finland,2005,1,1
Finland,2006,1,1
Finland,2007,1,1
Finland,2008,1,1
Finland,2009,1,1
Finland,2010,1,1
Finland,2011,1,1
Finland,2012,1,1
Finland,2013,1,1
Finland,2014,1,1
Finland,2015,1,1
Finland,2016,1,1
Finland,2017,1,1
Finland,2018,1,1
Finland,2019,1,1
France,2004,1,1
France,2005,1,1
France,2006,1,1
France,2007,1,1
France,2008,1,1
France,2009,1,1
France,2010,1,1
France,2011,1,1
France,2012,1,1
France,2013,1,1
France,2014,1,1
France,2015,1,1
France,2016,1,1
France,2017,1,1
France,2018,1,1
France,2019,1,1
Germany,2004,1,1
Germany,2005,1,1
Germany,2006,1,1
Germany,2007,1,1
Germany,2008,1,1
Germany,2009,1,1
Germany,2010,1,1
Germany,2011,1,1
Germany,2012,1,1
Germany,2013,1,1
Germany,2014,1,1
Germany,2015,1,1
Germany,2016,1,1
Germany,2017,1,1
Germany,2018,1,1
Germany,2019,1,1
Greece,2004,1,1
Greece,2005,1,1
Greece,2006,1,1
Greece,2007,1,1
Greece,2008,1,1
Greece,2009,1,1
Greece,2010,1,1
Greece,2011,1,1
Greece,2012,1,1
Greece,2013,1,1
Greece,2014,1,1
Greece,2015,1,1
Greece,2016,1,1
Greece,2017,1,1
Greece,2018,1,1
Greece,2019,1,1
Hungary,2004,0,0
Hungary,2005,0,0
Hungary,2006,0,0
Hungary,2007,0,0
Hungary,2008,0,0
Hungary,2009,0,0
Hungary,2010,0,0
Hungary,2011,0,0
Hungary,2012,0,0
Hungary,2013,0,0
Hungary,2014,0,0
Hungary,2015,0,0
Hungary,2016,0,0
Hungary,2017,0,0
Hungary,2018,0,0
Hungary,2019,0,0
Ireland,2004,1,1
Ireland,2005,1,1
Ireland,2006,1,1
Ireland,2007,1,1
Ireland,2008,1,1
Ireland,2009,1,1
Ireland,2010,1,1
Ireland,2011,1,1
Ireland,2012,1,1
Ireland,2013,1,1
Ireland,2014,1,1
Ireland,2015,1,1
Ireland,2016,1,1
Ireland,2017,1,1
Ireland,2018,1,1
Ireland,2019,1,1
Italy,2004,1,1
Italy,2005,1,1
Italy,2006,1,1
Italy,2007,1,1
Italy,2008,1,1
Italy,2009,1,1
Italy,2010,1,1
Italy,2011,1,1
Italy,2012,1,1
Italy,2013,1,1
Italy,2014,1,1
Italy,2015,1,1
Italy,2016,1,1
Italy,2017,1,1
Italy,2018,1,1
Italy,2019,1,1
Latvia,2004,0,0
Latvia,2005,0,0
Latvia,2006,0,0
Latvia,2007,0,0
Latvia,2008,0,0
Latvia,2009,0,0
Latvia,2010,0,0
Latvia,2011,0,0
Latvia,2012,0,0
Latvia,2013,0,0
Latvia,2014,1,0
Latvia,2015,1,1
Latvia,2016,1,1
Latvia,2017,1,1
Latvia,2018,1,1
Latvia,2019,1,1
Lithuania,2004,0,0
Lithuania,2005,0,0
Lithuania,2006,0,0
Lithuania,2007,0,0
Lithuania,2008,0,0
Lithuania,2009,0,0
Lithuania,2010,0,0
Lithuania,2011,0,0
Lithuania,2012,0,0
Lithuania,2013,0,0
Lithuania,2014,0,0
Lithuania,2015,1,0
Lithuania,2016,1,1
Lithuania,2017,1,1
Lithuania,2018,1,1
Lithuania,2019,1,1
Luxembourg,2004,1,1
Luxembourg,2005,1,1
Luxembourg,2006,1,1
Luxembourg,2007,1,1
Luxembourg,2008,1,1
Luxembourg,2009,1,1
Luxembourg,2010,1,1
Luxembourg,2011,1,1
Luxembourg,2012,1,1
Luxembourg,2013,1,1
Luxembourg,2014,1,1
Luxembourg,2015,1,1
Luxembourg,2016,1,1
Luxembourg,2017,1,1
Luxembourg,2018,1,1
Luxembourg,2019,1,1
Malta,2004,0,0
Malta,2005,0,0
Malta,2006,0,0
Malta,2007,0,0
Malta,2008,1,0
Malta,2009,1,1
Malta,2010,1,1
Malta,2011,1,1
Malta,2012,1,1
Malta,2013,1,1
Malta,2014,1,1
Malta,2015,1,1
Malta,2016,1,1
Malta,2017,1,1
Malta,2018,1,1
Malta,2019,1,1
Netherlands,2004,1,1
Netherlands,2005,1,1
Netherlands,2006,1,1
Netherlands,2007,1,1
Netherlands,2008,1,1
Netherlands,2009,1,1
Netherlands,2010,1,1
Netherlands,2011,1,1
Netherlands,2012,1,1
Netherlands,2013,1,1
Netherlands,2014,1,1
Netherlands,2015,1,1
Netherlands,2016,1,1
Netherlands,2017,1,1
Netherlands,2018,1,1
Netherlands,2019,1,1
Poland,2004,0,0
Poland,2005,0,0
Poland,2006,0,0
Poland,2007,0,0
Poland,2008,0,0
Poland,2009,0,0
Poland,2010,0,0
Poland,2011,0,0
Poland,2012,0,0
Poland,2013,0,0
Poland,2014,0,0
Poland,2015,0,0
Poland,2016,0,0
Poland,2017,0,0
Poland,2018,0,0
Poland,2019,0,0
Portugal,2004,1,1
Portugal,2005,1,1
Portugal,2006,1,1
Portugal,2007,1,1
Portugal,2008,1,1
Portugal,2009,1,1
Portugal,2010,1,1
Portugal,2011,1,1
Portugal,2012,1,1
Portugal,2013,1,1
Portugal,2014,1,1
Portugal,2015,1,1
Portugal,2016,1,1
Portugal,2017,1,1
Portugal,2018,1,1
Portugal,2019,1,1
Slovakia,2004,0,0
Slovakia,2005,0,0
Slovakia,2006,0,0
Slovakia,2007,0,0
Slovakia,2008,0,0
Slovakia,2009,1,0
Slovakia,2010,1,1
Slovakia,2011,1,1
Slovakia,2012,1,1
Slovakia,2013,1,1
Slovakia,2014,1,1
Slovakia,2015,1,1
Slovakia,2016,1,1
Slovakia,2017,1,1
Slovakia,2018,1,1
Slovakia,2019,1,1
Slovenia,2004,0,0
Slovenia,2005,0,0
Slovenia,2006,0,0
Slovenia,2007,1,0
Slovenia,2008,1,1
Slovenia,2009,1,1
Slovenia,2010,1,1
Slovenia,2011,1,1
Slovenia,2012,1,1
Slovenia,2013,1,1
Slovenia,2014,1,1
Slovenia,2015,1,1
Slovenia,2016,1,1
Slovenia,2017,1,1
Slovenia,2018,1,1
Slovenia,2019,1,1
Spain,2004,1,1
Spain,2005,1,1
Spain,2006,1,1
Spain,2007,1,1
Spain,2008,1,1
Spain,2009,1,1
Spain,2010,1,1
Spain,2011,1,1
Spain,2012,1,1
Spain,2013,1,1
Spain,2014,1,1
Spain,2015,1,1
Spain,2016,1,1
Spain,2017,1,1
Spain,2018,1,1
Spain,2019,1,1
Sweden,2004,0,0
Sweden,2005,0,0
Sweden,2006,0,0
Sweden,2007,0,0
Sweden,2008,0,0
Sweden,2009,0,0
Sweden,2010,0,0
Sweden,2011,0,0
Sweden,2012,0,0
Sweden,2013,0,0
Sweden,2014,0,0
Sweden,2015,0,0
Sweden,2016,0,0
Sweden,2017,0,0
Sweden,2018,0,0
Sweden,2019,0,0
United Kingdom,2004,0,0
United Kingdom,2005,0,0
United Kingdom,2006,0,0
United Kingdom,2007,0,0
United Kingdom,2008,0,0
United Kingdom,2009,0,0
United Kingdom,2010,0,0
United Kingdom,2011,0,0
United Kingdom,2012,0,0
United Kingdom,2013,0,0
United Kingdom,2014,0,0
United Kingdom,2015,0,0
United Kingdom,2016,0,0
United Kingdom,2017,0,0
United Kingdom,2018,0,0
United Kingdom,2019,0,0
