Country,Year,Inflation Rate,Previous Year Inflation Rate
Latvia,2004,6.192,2.943
Latvia,2005,6.748,6.192
Latvia,2006,6.536,6.748
Latvia,2007,10.093,6.536
Latvia,2008,15.402,10.093
Latvia,2009,3.534,15.402
Latvia,2010,-1.085,3.534
Latvia,2011,4.371,-1.085
Latvia,2012,2.258,4.371
Latvia,2013,-0.029,2.258
Latvia,2014,0.62,-0.029
Latvia,2015,0.174,0.62
Latvia,2016,0.141,0.174
Latvia,2017,2.93,0.141
Latvia,2018,2.534,2.93
Latvia,2019,2.811,2.534
Lithuania,2004,1.164,-1.134
Lithuania,2005,2.658,1.164
Lithuania,2006,3.739,2.658
Lithuania,2007,5.737,3.739
Lithuania,2008,10.926,5.737
Lithuania,2009,4.453,10.926
Lithuania,2010,1.319,4.453
Lithuania,2011,4.13,1.319
Lithuania,2012,3.09,4.13
Lithuania,2013,1.047,3.09
Lithuania,2014,0.104,1.047
Lithuania,2015,-0.884,0.104
Lithuania,2016,0.906,-0.884
Lithuania,2017,3.723,0.906
Lithuania,2018,2.698,3.723
Lithuania,2019,2.335,2.698
Luxembourg,2004,2.226,2.05
Luxembourg,2005,2.488,2.226
Luxembourg,2006,2.666,2.488
Luxembourg,2007,2.312,2.666
Luxembourg,2008,3.402,2.312
Luxembourg,2009,0.368,3.402
Luxembourg,2010,2.274,0.368
Luxembourg,2011,3.411,2.274
Luxembourg,2012,2.663,3.411
Luxembourg,2013,1.734,2.663
Luxembourg,2014,0.629,1.734
Luxembourg,2015,0.475,0.629
Luxembourg,2016,0.291,0.475
Luxembourg,2017,1.731,0.291
Luxembourg,2018,1.528,1.731
Luxembourg,2019,1.743,1.528
Malta,2004,2.791,1.304
Malta,2005,3.008,2.791
Malta,2006,2.774,3.008
Malta,2007,1.249,2.774
Malta,2008,4.259,1.249
Malta,2009,2.084,4.259
Malta,2010,1.516,2.084
Malta,2011,2.963,1.516
Malta,2012,2.376,2.963
Malta,2013,1.18,2.376
Malta,2014,0.31,1.18
Malta,2015,1.101,0.31
Malta,2016,0.643,1.101
Malta,2017,1.364,0.643
Malta,2018,1.158,1.364
Malta,2019,1.642,1.158
Netherlands,2004,1.264,2.092
Netherlands,2005,1.688,1.264
Netherlands,2006,1.102,1.688
Netherlands,2007,1.614,1.102
Netherlands,2008,2.487,1.614
Netherlands,2009,1.19,2.487
Netherlands,2010,1.275,1.19
Netherlands,2011,2.341,1.275
Netherlands,2012,2.456,2.341
Netherlands,2013,2.507,2.456
Netherlands,2014,0.976,2.507
Netherlands,2015,0.6,0.976
Netherlands,2016,0.317,0.6
Netherlands,2017,1.381,0.317
Netherlands,2018,1.703,1.381
Netherlands,2019,2.634,1.703
Poland,2004,3.383,0.683
Poland,2005,2.184,3.383
Poland,2006,1.285,2.184
Poland,2007,2.459,1.285
Poland,2008,4.165,2.459
Poland,2009,3.795,4.165
Poland,2010,2.581,3.795
Poland,2011,4.239,2.581
Poland,2012,3.56,4.239
Poland,2013,0.992,3.56
Poland,2014,0.054,0.992
Poland,2015,-0.874,0.054
Poland,2016,-0.665,-0.874
Poland,2017,2.076,-0.665
Poland,2018,1.813,2.076
Poland,2019,2.227,1.813
Portugal,2004,2.365,3.219
Portugal,2005,2.277,2.365
Portugal,2006,3.108,2.277
Portugal,2007,2.454,3.108
Portugal,2008,2.589,2.454
Portugal,2009,-0.836,2.589
Portugal,2010,1.403,-0.836
Portugal,2011,3.653,1.403
Portugal,2012,2.773,3.653
Portugal,2013,0.274,2.773
Portugal,2014,-0.278,0.274
Portugal,2015,0.488,-0.278
Portugal,2016,0.607,0.488
Portugal,2017,1.369,0.607
Portugal,2018,0.994,1.369
Portugal,2019,0.338,0.994
Slovakia,2004,7.549,8.554
Slovakia,2005,2.709,7.549
Slovakia,2006,4.483,2.709
Slovakia,2007,2.757,4.483
Slovakia,2008,4.598,2.757
Slovakia,2009,1.615,4.598
Slovakia,2010,0.957,1.615
Slovakia,2011,3.919,0.957
Slovakia,2012,3.606,3.919
Slovakia,2013,1.4,3.606
Slovakia,2014,-0.076,1.4
Slovakia,2015,-0.325,-0.076
Slovakia,2016,-0.52,-0.325
Slovakia,2017,1.312,-0.52
Slovakia,2018,2.514,1.312
Slovakia,2019,2.665,2.514
Slovenia,2004,3.593,5.544
Slovenia,2005,2.452,3.593
Slovenia,2006,2.458,2.452
Slovenia,2007,3.657,2.458
Slovenia,2008,5.647,3.657
Slovenia,2009,0.839,5.647
Slovenia,2010,1.801,0.839
Slovenia,2011,1.803,1.801
Slovenia,2012,2.597,1.803
Slovenia,2013,1.769,2.597
Slovenia,2014,0.199,1.769
Slovenia,2015,-0.526,0.199
Slovenia,2016,-0.055,-0.526
Slovenia,2017,1.429,-0.055
Slovenia,2018,1.739,1.429
Slovenia,2019,1.631,1.739
Spain,2004,3.039,3.039
Spain,2005,3.369,3.039
Spain,2006,3.516,3.369
Spain,2007,2.787,3.516
Spain,2008,4.075,2.787
Spain,2009,-0.288,4.075
Spain,2010,1.8,-0.288
Spain,2011,3.196,1.8
Spain,2012,2.446,3.196
Spain,2013,1.409,2.446
Spain,2014,-0.151,1.409
Spain,2015,-0.5,-0.151
Spain,2016,-0.203,-0.5
Spain,2017,1.956,-0.203
Spain,2018,1.675,1.956
Spain,2019,0.7,1.675
Sweden,2004,0.374,1.926
Sweden,2005,0.453,0.374
Sweden,2006,1.36,0.453
Sweden,2007,2.212,1.36
Sweden,2008,3.437,2.212
Sweden,2009,-0.494,3.437
Sweden,2010,1.158,-0.494
Sweden,2011,2.961,1.158
Sweden,2012,0.888,2.961
Sweden,2013,-0.044,0.888
Sweden,2014,-0.18,-0.044
Sweden,2015,-0.047,-0.18
Sweden,2016,0.984,-0.047
Sweden,2017,1.794,0.984
Sweden,2018,1.954,1.794
Sweden,2019,1.784,1.954
United Kingdom,2004,1.39,1.377
United Kingdom,2005,2.089,1.39
United Kingdom,2006,2.456,2.089
United Kingdom,2007,2.387,2.456
United Kingdom,2008,3.521,2.387
United Kingdom,2009,1.962,3.521
United Kingdom,2010,2.493,1.962
United Kingdom,2011,3.856,2.493
United Kingdom,2012,2.573,3.856
United Kingdom,2013,2.292,2.573
United Kingdom,2014,1.451,2.292
United Kingdom,2015,0.368,1.451
United Kingdom,2016,1.008,0.368
United Kingdom,2017,2.558,1.008
United Kingdom,2018,2.293,2.558
United Kingdom,2019,1.738,2.293
