Country,Year,Unemployment Rate,Previous Year Unemployment Rate
Lithuania,2019,6.255,6.147
Luxembourg,2004,5.113,3.675
Luxembourg,2005,4.488,5.113
Luxembourg,2006,4.731,4.488
Luxembourg,2007,4.065,4.731
Luxembourg,2008,5.06,4.065
Luxembourg,2009,5.194,5.06
Luxembourg,2010,4.423,5.194
Luxembourg,2011,5.122,4.423
Luxembourg,2012,5.03,5.122
Luxembourg,2013,6.045,5.03
Luxembourg,2014,6.044,6.045
Luxembourg,2015,6.796,6.044
Luxembourg,2016,6.669,6.796
Luxembourg,2017,5.523,6.669
Luxembourg,2018,5.589,5.523
Luxembourg,2019,5.592,5.589
Malta,2004,7.317,7.488
Malta,2005,6.923,7.317
Malta,2006,6.798,6.923
Malta,2007,6.472,6.798
Malta,2008,5.977,6.472
Malta,2009,6.889,5.977
Malta,2010,6.847,6.889
Malta,2011,6.378,6.847
Malta,2012,6.197,6.378
Malta,2013,6.106,6.197
Malta,2014,5.725,6.106
Malta,2015,5.379,5.725
Malta,2016,4.687,5.379
Malta,2017,4.002,4.687
Malta,2018,3.658,4.002
Malta,2019,3.616,3.658
Netherlands,2004,4.646,3.593
Netherlands,2005,5.873,4.646
Netherlands,2006,5.007,5.873
Netherlands,2007,4.153,5.007
Netherlands,2008,3.658,4.153
Netherlands,2009,4.352,3.658
Netherlands,2010,4.991,4.352
Netherlands,2011,4.977,4.991
Netherlands,2012,5.821,4.977
Netherlands,2013,7.241,5.821
Netherlands,2014,7.419,7.241
Netherlands,2015,6.872,7.419
Netherlands,2016,6.007,6.872
Netherlands,2017,4.837,6.007
Netherlands,2018,3.832,4.837
Netherlands,2019,3.379,3.832
Poland,2004,19.074,19.37
Poland,2005,17.746,19.074
Poland,2006,13.841,17.746
Poland,2007,9.602,13.841
Poland,2008,7.118,9.602
Poland,2009,8.167,7.118
Poland,2010,9.637,8.167
Poland,2011,9.632,9.637
Poland,2012,10.088,9.632
Poland,2013,10.326,10.088
Poland,2014,8.99,10.326
Poland,2015,7.501,8.99
Poland,2016,6.161,7.501
Poland,2017,4.888,6.161
Poland,2018,3.846,4.888
Poland,2019,3.277,3.846
Portugal,2004,6.319,6.132
Portugal,2005,7.582,6.319
Portugal,2006,7.649,7.582
Portugal,2007,7.966,7.649
Portugal,2008,7.553,7.966
Portugal,2009,9.432,7.553
Portugal,2010,10.771,9.432
Portugal,2011,12.682,10.771
Portugal,2012,15.531,12.682
Portugal,2013,16.188,15.531
Portugal,2014,13.897,16.188
Portugal,2015,12.447,13.897
Portugal,2016,11.068,12.447
Portugal,2017,8.869,11.068
Portugal,2018,6.994,8.869
Portugal,2019,6.464,6.994
Slovakia,2004,18.206,17.55
Slovakia,2005,16.276,18.206
Slovakia,2006,13.395,16.276
Slovakia,2007,11.16,13.395
Slovakia,2008,9.514,11.16
Slovakia,2009,12.023,9.514
Slovakia,2010,14.387,12.023
Slovakia,2011,13.634,14.387
Slovakia,2012,13.966,13.634
Slovakia,2013,14.227,13.966
Slovakia,2014,11.537,14.227
Slovakia,2015,11.492,11.537
Slovakia,2016,9.679,11.492
Slovakia,2017,8.142,9.679
Slovakia,2018,6.544,8.142
Slovakia,2019,5.761,6.544
Slovenia,2004,6.017,6.481
Slovenia,2005,6.515,6.017
Slovenia,2006,5.957,6.515
Slovenia,2007,4.828,5.957
Slovenia,2008,4.379,4.828
Slovenia,2009,5.869,4.379
Slovenia,2010,7.248,5.869
Slovenia,2011,8.182,7.248
Slovenia,2012,8.852,8.182
Slovenia,2013,10.116,8.852
Slovenia,2014,9.692,10.116
Slovenia,2015,8.975,9.692
Slovenia,2016,8.007,8.975
Slovenia,2017,6.573,8.007
Slovenia,2018,5.116,6.573
Slovenia,2019,4.448,5.116
Spain,2004,11.09,11.283
Spain,2005,9.146,11.09
Spain,2006,8.452,9.146
Spain,2007,8.232,8.452
Spain,2008,11.255,8.232
Spain,2009,17.857,11.255
Spain,2010,19.86,17.857
Spain,2011,21.391,19.86
Spain,2012,24.789,21.391
Spain,2013,26.094,24.789
Spain,2014,24.441,26.094
Spain,2015,22.057,24.441
Spain,2016,19.635,22.057
Spain,2017,17.224,19.635
Spain,2018,15.255,17.224
Spain,2019,14.105,15.255
Sweden,2004,6.693,5.555
Sweden,2005,7.486,6.693
Sweden,2006,7.066,7.486
Sweden,2007,6.161,7.066
Sweden,2008,6.235,6.161
Sweden,2009,8.351,6.235
Sweden,2010,8.61,8.351
Sweden,2011,7.804,8.61
Sweden,2012,7.976,7.804
Sweden,2013,8.052,7.976
Sweden,2014,7.954,8.052
Sweden,2015,7.432,7.954
Sweden,2016,6.99,7.432
Sweden,2017,6.718,6.99
Sweden,2018,6.365,6.718
Sweden,2019,6.833,6.365
United Kingdom,2004,4.594,4.807
United Kingdom,2005,4.835,4.594
United Kingdom,2006,5.411,4.835
United Kingdom,2007,5.342,5.411
United Kingdom,2008,5.705,5.342
United Kingdom,2009,7.627,5.705
United Kingdom,2010,7.924,7.627
United Kingdom,2011,8.169,7.924
United Kingdom,2012,8.25,8.169
United Kingdom,2013,7.704,8.25
United Kingdom,2014,6.363,7.704
United Kingdom,2015,5.517,6.363
United Kingdom,2016,4.868,5.517
United Kingdom,2017,4.452,4.868
United Kingdom,2018,4.12,4.452
United Kingdom,2019,3.613,4.12
