Country,Year,Is Election Year,Years Since Last Election
Netherlands,2016,0,4
Netherlands,2017,1,5
Netherlands,2018,0,1
Netherlands,2019,0,2
Poland,2004,0,3
Poland,2005,1,4
Poland,2006,0,1
Poland,2007,1,2
Poland,2008,0,1
Poland,2009,0,2
Poland,2010,0,3
Poland,2011,1,4
Poland,2012,0,1
Poland,2013,0,2
Poland,2014,0,3
Poland,2015,1,4
Poland,2016,0,1
Poland,2017,0,2
Poland,2018,0,3
Poland,2019,1,4
Portugal,2004,0,2
Portugal,2005,1,3
Portugal,2006,0,1
Portugal,2007,0,2
Portugal,2008,0,3
Portugal,2009,1,4
Portugal,2010,0,1
Portugal,2011,1,2
Portugal,2012,0,1
Portugal,2013,0,2
Portugal,2014,0,3
Portugal,2015,1,4
Portugal,2016,0,1
Portugal,2017,0,2
Portugal,2018,0,3
Portugal,2019,1,4
Slovakia,2004,0,2
Slovakia,2005,0,3
Slovakia,2006,1,4
Slovakia,2007,0,1
Slovakia,2008,0,2
Slovakia,2009,0,3
Slovakia,2010,1,4
Slovakia,2011,0,1
Slovakia,2012,1,2
Slovakia,2013,0,1
Slovakia,2014,0,2
Slovakia,2015,0,3
Slovakia,2016,1,4
Slovakia,2017,0,1
Slovakia,2018,0,2
Slovakia,2019,0,3
Slovenia,2004,1,4
Slovenia,2005,0,1
Slovenia,2006,0,2
Slovenia,2007,0,3
Slovenia,2008,1,4
Slovenia,2009,0,1
Slovenia,2010,0,2
Slovenia,2011,1,3
Slovenia,2012,0,1
Slovenia,2013,0,2
Slovenia,2014,1,3
Slovenia,2015,0,1
Slovenia,2016,0,2
Slovenia,2017,0,3
Slovenia,2018,1,4
Slovenia,2019,0,1
Spain,2004,1,4
Spain,2005,0,1
Spain,2006,0,2
Spain,2007,0,3
Spain,2008,1,4
Spain,2009,0,1
Spain,2010,0,2
Spain,2011,1,3
Spain,2012,0,1
Spain,2013,0,2
Spain,2014,0,3
Spain,2015,1,4
Spain,2016,1,1
Spain,2017,0,1
Spain,2018,0,2
Spain,2019,1,3
Sweden,2004,0,2
Sweden,2005,0,3
Sweden,2006,1,4
Sweden,2007,0,1
Sweden,2008,0,2
Sweden,2009,0,3
Sweden,2010,1,4
Sweden,2011,0,1
Sweden,2012,0,2
Sweden,2013,0,3
Sweden,2014,1,4
Sweden,2015,0,1
Sweden,2016,0,2
Sweden,2017,0,3
Sweden,2018,1,4
Sweden,2019,0,1
United Kingdom,2004,0,3
United Kingdom,2005,1,4
United Kingdom,2006,0,1
United Kingdom,2007,0,2
United Kingdom,2008,0,3
United Kingdom,2009,0,4
United Kingdom,2010,1,5
United Kingdom,2011,0,1
United Kingdom,2012,0,2
United Kingdom,2013,0,3
United Kingdom,2014,0,4
United Kingdom,2015,1,5
United Kingdom,2016,0,1
United Kingdom,2017,1,2
United Kingdom,2018,0,1
United Kingdom,2019,1,2
