Country,Year,Is Election Year,Years Since Last Election,Inflation Rate,Previous Year Inflation Rate,GDP Per Capita,Previous Year GDP Per Capita,Currency is Euro,Previous Year Currency is Euro,Net Migration,Previous Year Net Migration,Population,Previous Year Population,Unemployment Rate,Previous Year Unemployment Rate,VAT,Previous Year VAT,EURO600 Q1,EURO600 Q2,EURO600 Q3,EURO600 Q4,Previous Year EURO600 Q1,Previous Year EURO600 Q2,Previous Year EURO600 Q3,Previous Year EURO600 Q4,S&P500 Q1,S&P500 Q2,S&P500 Q3,S&P500 Q4,Previous Year S&P500 Q1,Previous Year S&P500 Q2,Previous Year S&P500 Q3,Previous Year S&P500 Q4,Crude Oil Q1,Crude Oil Q2,Crude Oil Q3,Crude Oil Q4,Previous Year Crude Oil Q1,Previous Year Crude Oil Q2,Previous Year Crude Oil Q3,Previous Year Crude Oil Q4,EUR-USD Exchange Rate Q1,EUR-USD Exchange Rate Q2,EUR-USD Exchange Rate Q3,EUR-USD Exchange Rate Q4,Previous Year EUR-USD Exchange Rate Q1,Previous Year EUR-USD Exchange Rate Q2,Previous Year EUR-USD Exchange Rate Q3,Previous Year EUR-USD Exchange Rate Q4,ECB Interest Rate,Previous Year ECB Interest Rate
Hungary,2004,0,2,6.744,4.661,10301.703,8419.431,0,0,16.803,14.182,10.107,10.13,5.832,5.79,25.0,25.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Ireland,2004,0,2,2.179,3.492,47754.202,41203.53,1,1,49.526,32.763,4.07,3.997,4.491,4.478,21.0,21.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Italy,2004,0,3,2.207,2.673,31317.201,27526.322,1,1,417.189,478.254,57.685,57.313,7.881,8.888,20.0,20.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Latvia,2004,0,2,6.192,2.943,6378.667,5145.195,0,0,-18.142,-18.671,2.263,2.288,11.708,12.061,18.0,18.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Lithuania,2004,1,4,1.164,-1.134,6700.327,5499.429,0,0,-35.427,-34.848,3.377,3.415,10.684,12.875,18.0,18.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Luxembourg,2004,1,5,2.226,2.05,76544.917,65689.321,1,1,4.482,5.4,0.458,0.452,5.113,3.675,15.0,15.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Malta,2004,0,1,2.791,1.304,15197.057,13669.497,0,0,0.872,1.238,0.401,0.399,7.317,7.488,18.0,15.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Netherlands,2004,0,1,1.264,2.092,40436.618,35750.975,1,1,12.819,13.122,16.282,16.225,4.646,3.593,19.0,19.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Poland,2004,0,3,3.383,0.683,6681.31,5701.639,0,0,-17.064,-22.621,38.182,38.205,19.074,19.37,22.0,22.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Portugal,2004,0,2,2.365,3.219,18064.158,15797.782,1,1,17.114,28.311,10.484,10.459,6.319,6.132,19.0,19.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Slovakia,2004,0,2,7.549,8.554,10691.447,8731.937,0,0,-0.225,-0.325,5.372,5.373,18.206,17.55,19.0,20.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Slovenia,2004,1,4,3.593,5.544,17233.139,14849.037,0,0,8.061,8.388,1.997,1.996,6.017,6.481,20.0,20.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Spain,2004,1,4,3.039,3.039,24907.001,21510.836,1,1,661.105,662.84,42.922,42.188,11.09,11.283,16.0,16.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Sweden,2004,0,2,0.374,1.926,42821.673,37321.798,0,0,36.044,33.445,8.994,8.958,6.693,5.555,25.0,25.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
United Kingdom,2004,0,3,1.39,1.377,40366.889,34442.688,0,0,247.447,230.387,59.988,59.648,4.594,4.807,17.5,17.5,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Austria,2005,0,3,2.299,2.061,38417.458,36889.234,1,1,50.282,54.907,8.228,8.172,5.682,5.969,20.0,20.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Belgium,2005,0,2,2.781,2.097,36809.701,35429.408,1,1,46.28,43.994,10.479,10.421,8.44,7.363,21.0,21.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Cyprus,2005,0,4,2.56,2.286,24959.26,23792.621,0,0,13.237,13.126,1.037,1.019,5.481,4.77,15.0,15.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Czech Republic,2005,0,3,1.857,2.76,13430.67,11749.853,0,0,24.895,25.947,10.211,10.197,7.927,8.298,19.0,19.995,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Denmark,2005,1,4,1.818,1.154,48799.826,46511.598,0,0,11.693,11.366,5.419,5.405,4.83,5.204,25.0,25.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Estonia,2005,0,2,4.08,3.048,10412.644,8914.104,0,0,-5.242,-3.768,1.355,1.363,8.033,10.248,18.0,18.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Finland,2005,0,2,0.624,0.187,39054.85,37772.178,1,1,9.406,6.872,5.246,5.228,9.602,10.358,22.0,22.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
France,2005,1,3,1.746,2.142,34768.176,33797.162,1,1,155.943,154.947,63.188,62.716,8.882,8.914,19.6,19.6,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Germany,2005,1,3,1.547,1.666,34520.24,34106.658,1,1,102.694,73.107,82.469,82.516,11.193,10.727,16.0,16.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Greece,2005,0,1,3.545,2.899,22560.147,21995.478,1,1,-7.559,-1.102,10.987,10.955,10.074,10.628,18.753,18.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Hungary,2005,0,3,3.562,6.744,11223.399,10301.703,0,0,16.615,16.803,10.087,10.107,7.189,5.832,25.0,25.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Ireland,2005,0,3,2.457,2.179,50933.022,47754.202,1,1,64.192,49.526,4.16,4.07,4.237,4.491,21.0,21.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Italy,2005,0,4,1.985,2.207,32055.092,31317.201,1,1,250.91,417.189,57.969,57.685,7.745,7.881,20.0,20.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Latvia,2005,0,3,6.748,6.192,7594.902,6378.667,0,0,-17.62,-18.142,2.239,2.263,10.033,11.708,18.0,18.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Lithuania,2005,0,1,2.658,1.164,7854.765,6700.327,0,0,-35.453,-35.427,3.323,3.377,8.325,10.684,18.0,18.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Luxembourg,2005,0,1,2.488,2.226,80988.138,76544.917,1,1,6.19,4.482,0.465,0.458,4.488,5.113,15.0,15.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Malta,2005,0,2,3.008,2.791,15888.172,15197.057,0,0,0.456,0.872,0.404,0.401,6.923,7.317,18.0,18.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Netherlands,2005,0,2,1.688,1.264,41994.714,40436.618,1,1,13.61,12.819,16.32,16.282,5.873,4.646,19.0,19.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Poland,2005,1,4,2.184,3.383,8021.548,6681.31,0,0,-21.324,-17.064,38.165,38.182,17.746,19.074,22.0,22.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Portugal,2005,1,3,2.277,2.365,18780.128,18064.158,1,1,17.155,17.114,10.503,10.484,7.582,6.319,20.005,19.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Slovakia,2005,0,3,2.709,7.549,11690.113,10691.447,0,0,-0.219,-0.225,5.373,5.372,16.276,18.206,19.0,19.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Slovenia,2005,0,1,2.452,3.593,18098.909,17233.139,0,0,8.289,8.061,2.0,1.997,6.515,6.017,20.0,20.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Spain,2005,0,1,3.369,3.039,26429.151,24907.001,1,1,632.974,661.105,43.653,42.922,9.146,11.09,16.0,16.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Sweden,2005,0,3,0.453,0.374,43437.063,42821.673,0,0,39.103,36.044,9.03,8.994,7.486,6.693,25.0,25.0,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
United Kingdom,2005,1,4,2.089,1.39,42104.788,40366.889,0,0,261.3,247.447,60.401,59.988,4.835,4.594,17.5,17.5,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298,2.017,2.0
Austria,2006,1,4,1.442,2.299,40669.327,38417.458,1,1,25.42,50.282,8.269,8.228,5.32,5.682,20.0,20.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Belgium,2006,0,3,1.791,2.781,38705.107,36809.701,1,1,48.426,46.28,10.548,10.479,8.246,8.44,21.0,21.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Cyprus,2006,0,5,2.305,2.56,26729.324,24959.26,0,0,12.664,13.237,1.055,1.037,4.593,5.481,15.0,15.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Czech Republic,2006,1,4,2.534,1.857,15261.798,13430.67,0,0,25.831,24.895,10.239,10.211,7.141,7.927,19.0,19.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Denmark,2006,0,1,1.924,1.818,52027.0,48799.826,0,0,12.217,11.693,5.437,5.419,3.897,4.83,25.0,25.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Estonia,2006,0,3,4.438,4.08,12639.4,10412.644,0,0,-5.403,-5.242,1.347,1.355,5.915,8.033,18.0,18.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Finland,2006,0,3,1.567,0.624,41222.602,39054.85,1,1,10.801,9.406,5.266,5.246,8.935,9.602,22.0,22.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
France,2006,0,1,1.675,1.746,36470.213,34768.176,1,1,151.814,155.943,63.628,63.188,8.833,8.882,19.6,19.6,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Germany,2006,0,1,1.577,1.547,36353.88,34520.24,1,1,145.046,102.694,82.376,82.469,10.277,11.193,16.0,16.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Greece,2006,0,2,3.196,3.545,24821.937,22560.147,1,1,-13.7,-7.559,11.02,10.987,8.906,10.074,19.0,18.753,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
