Country,Year,Start Date,End Date,VAT
Czech Republic,2010,01/01/2010,31/12/2010,20
Czech Republic,2011,01/01/2011,31/12/2011,20
Czech Republic,2012,01/01/2012,31/12/2012,20
Czech Republic,2013,01/01/2013,31/12/2013,21
Czech Republic,2014,01/01/2014,31/12/2014,21
Czech Republic,2015,01/01/2015,31/12/2015,21
Czech Republic,2016,01/01/2016,31/12/2016,21
Czech Republic,2017,01/01/2017,31/12/2017,21
Czech Republic,2018,01/01/2018,31/12/2018,21
Czech Republic,2019,01/01/2019,31/12/2019,21
Denmark,2003,01/01/2003,31/12/2003,25
Denmark,2004,01/01/2004,31/12/2004,25
Denmark,2005,01/01/2005,31/12/2005,25
Denmark,2006,01/01/2006,31/12/2006,25
Denmark,2007,01/01/2007,31/12/2007,25
Denmark,2008,01/01/2008,31/12/2008,25
Denmark,2009,01/01/2009,31/12/2009,25
Denmark,2010,01/01/2010,31/12/2010,25
Denmark,2011,01/01/2011,31/12/2011,25
Denmark,2012,01/01/2012,31/12/2012,25
Denmark,2013,01/01/2013,31/12/2013,25
Denmark,2014,01/01/2014,31/12/2014,25
Denmark,2015,01/01/2015,31/12/2015,25
Denmark,2016,01/01/2016,31/12/2016,25
Denmark,2017,01/01/2017,31/12/2017,25
Denmark,2018,01/01/2018,31/12/2018,25
Denmark,2019,01/01/2019,31/12/2019,25
Estonia,2003,01/01/2003,31/12/2003,18
Estonia,2004,01/01/2004,31/12/2004,18
Estonia,2005,01/01/2005,31/12/2005,18
Estonia,2006,01/01/2006,31/12/2006,18
Estonia,2007,01/01/2007,31/12/2007,18
Estonia,2008,01/01/2008,31/12/2008,18
Estonia,2009,01/01/2009,01/07/2009,18
Estonia,2009,01/07/2009,31/12/2009,20
Estonia,2010,01/01/2010,31/12/2010,20
Estonia,2011,01/01/2011,31/12/2011,20
Estonia,2012,01/01/2012,31/12/2012,20
Estonia,2013,01/01/2013,31/12/2013,20
Estonia,2014,01/01/2014,31/12/2014,20
Estonia,2015,01/01/2015,31/12/2015,20
Estonia,2016,01/01/2016,31/12/2016,20
Estonia,2017,01/01/2017,31/12/2017,20
Estonia,2018,01/01/2018,31/12/2018,20
Estonia,2019,01/01/2019,31/12/2019,20
Finland,2003,01/01/2003,31/12/2003,22
Finland,2004,01/01/2004,31/12/2004,22
Finland,2005,01/01/2005,31/12/2005,22
Finland,2006,01/01/2006,31/12/2006,22
Finland,2007,01/01/2007,31/12/2007,22
Finland,2008,01/01/2008,31/12/2008,22
Finland,2009,01/01/2009,31/12/2009,22
Finland,2010,01/01/2010,01/07/2010,22
Finland,2011,01/07/2010,31/12/2010,23
Finland,2012,01/01/2012,31/12/2012,23
Finland,2013,01/01/2013,31/12/2013,24
Finland,2014,01/01/2014,31/12/2014,24
Finland,2015,01/01/2015,31/12/2015,24
Finland,2016,01/01/2016,31/12/2016,24
Finland,2017,01/01/2017,31/12/2017,24
Finland,2018,01/01/2018,31/12/2018,24
Finland,2019,01/01/2019,31/12/2019,24
France,2003,01/01/2003,31/12/2003,19.6
France,2004,01/01/2004,31/12/2004,19.6
France,2005,01/01/2005,31/12/2005,19.6
France,2006,01/01/2006,31/12/2006,19.6
France,2007,01/01/2007,31/12/2007,19.6
France,2008,01/01/2008,31/12/2008,19.6
France,2009,01/01/2009,31/12/2009,19.6
France,2010,01/01/2010,31/12/2010,19.6
France,2011,01/01/2011,31/12/2011,19.6
France,2012,01/01/2012,31/12/2012,19.6
France,2013,01/01/2013,31/12/2013,19.6
France,2014,01/01/2014,31/12/2014,20
France,2015,01/01/2015,31/12/2015,20
France,2016,01/01/2016,31/12/2016,20
France,2017,01/01/2017,31/12/2017,20
France,2018,01/01/2018,31/12/2018,20
France,2019,01/01/2019,31/12/2019,20
Germany,2003,01/01/2003,31/12/2003,16
Germany,2004,01/01/2004,31/12/2004,16
Germany,2005,01/01/2005,31/12/2005,16
Germany,2006,01/01/2006,31/12/2006,16
Germany,2007,01/01/2007,31/12/2007,19
Germany,2008,01/01/2008,31/12/2008,19
Germany,2009,01/01/2009,31/12/2009,19
Germany,2010,01/01/2010,31/12/2010,19
Germany,2011,01/01/2011,31/12/2011,19
Germany,2012,01/01/2012,31/12/2012,19
Germany,2013,01/01/2013,31/12/2013,19
Germany,2014,01/01/2014,31/12/2014,19
Germany,2015,01/01/2015,31/12/2015,19
Germany,2016,01/01/2016,31/12/2016,19
Germany,2017,01/01/2017,31/12/2017,19
Germany,2018,01/01/2018,31/12/2018,19
Germany,2019,01/01/2019,31/12/2019,19
Greece,2003,01/01/2003,31/12/2003,18
Greece,2004,01/01/2004,31/12/2004,18
Greece,2005,01/01/2005,01/04/2005,18
Greece,2005,01/04/2005,31/12/2005,19
Greece,2006,01/01/2006,31/12/2006,19
Greece,2007,01/01/2007,31/12/2007,19
Greece,2008,01/01/2008,31/12/2008,19
Greece,2009,01/01/2009,31/12/2009,19
Greece,2010,01/01/2010,15/03/2010,19
Greece,2010,15/03/2010,01/07/2010,21
Greece,2010,01/07/2010,31/12/2010,23
Greece,2011,01/01/2011,31/12/2011,23
Greece,2012,01/01/2012,31/12/2012,23
Greece,2013,01/01/2013,31/12/2013,23
Greece,2014,01/01/2014,31/12/2014,23
Greece,2015,01/01/2015,31/12/2015,23
Greece,2016,01/01/2016,01/06/2016,23
Greece,2016,01/06/2016,31/12/2016,24
Greece,2017,01/01/2017,31/12/2017,24
Greece,2018,01/01/2018,31/12/2018,24
Greece,2019,01/01/2019,31/12/2019,24
Hungary,2003,01/01/2003,31/12/2003,25
Hungary,2004,01/01/2004,31/12/2004,25
Hungary,2005,01/01/2005,31/12/2005,25
Hungary,2006,01/01/2006,31/12/2006,20
Hungary,2007,01/01/2007,31/12/2007,20
Hungary,2008,01/01/2008,31/12/2008,20
Hungary,2009,01/01/2009,01/07/2009,20
Hungary,2009,01/07/2009,31/12/2009,25
Hungary,2010,01/01/2010,31/12/2010,25
Hungary,2011,01/01/2011,31/12/2011,25
Hungary,2012,01/01/2012,31/12/2012,27
Hungary,2013,01/01/2013,31/12/2013,27
Hungary,2014,01/01/2014,31/12/2014,27
Hungary,2015,01/01/2015,31/12/2015,27
Hungary,2016,01/01/2016,31/12/2016,27
Hungary,2017,01/01/2017,31/12/2017,27
Hungary,2018,01/01/2018,31/12/2018,27
Hungary,2019,01/01/2019,31/12/2019,27
Ireland,2003,01/01/2003,31/12/2003,21
Ireland,2004,01/01/2004,31/12/2004,21
Ireland,2005,01/01/2005,31/12/2005,21
Ireland,2006,01/01/2006,31/12/2006,21
Ireland,2007,01/01/2007,31/12/2007,21
Ireland,2008,01/01/2008,01/12/2008,21
Ireland,2008,01/12/2008,31/12/2008,21.5
Ireland,2009,01/01/2009,31/12/2009,21.5
Ireland,2010,01/01/2010,31/12/2010,21
Ireland,2011,01/01/2011,31/12/2011,21
Ireland,2012,01/01/2012,31/12/2012,23
Ireland,2013,01/01/2013,31/12/2013,23
Ireland,2014,01/01/2014,31/12/2014,23
Ireland,2015,01/01/2015,31/12/2015,23
Ireland,2016,01/01/2016,31/12/2016,23
Ireland,2017,01/01/2017,31/12/2017,23
Ireland,2018,01/01/2018,31/12/2018,23
Ireland,2019,01/01/2019,31/12/2019,23
Italy,2003,01/01/2003,31/12/2003,20
Italy,2004,01/01/2004,31/12/2004,20
Italy,2005,01/01/2005,31/12/2005,20
Italy,2006,01/01/2006,31/12/2006,20
Italy,2007,01/01/2007,31/12/2007,20
Italy,2008,01/01/2008,31/12/2008,20
Italy,2009,01/01/2009,31/12/2009,20
Italy,2010,01/01/2010,31/12/2010,20
Italy,2011,01/01/2011,17/09/2011,20
Italy,2011,17/09/2011,31/12/2011,21
Italy,2012,01/01/2012,31/12/2012,21
Italy,2013,01/01/2013,01/10/2013,21
Italy,2013,01/10/2013,31/12/2013,22
Italy,2014,01/01/2014,31/12/2014,22
Italy,2015,01/01/2015,31/12/2015,22
Italy,2016,01/01/2016,31/12/2016,22
Italy,2017,01/01/2017,31/12/2017,22
Italy,2018,01/01/2018,31/12/2018,22
Italy,2019,01/01/2019,31/12/2019,22
Latvia,2003,01/01/2003,31/12/2003,18
Latvia,2004,01/01/2004,31/12/2004,18
Latvia,2005,01/01/2005,31/12/2005,18
Latvia,2006,01/01/2006,31/12/2006,18
Latvia,2007,01/01/2007,31/12/2007,18
Latvia,2008,01/01/2008,31/12/2008,18
Latvia,2009,01/01/2009,31/12/2009,21
Latvia,2010,01/01/2010,31/12/2010,21
Latvia,2011,01/01/2011,31/12/2011,22
Latvia,2012,01/01/2012,01/07/2012,22
Latvia,2012,01/07/2012,31/12/2012,21
Latvia,2013,01/01/2013,31/12/2013,21
Latvia,2014,01/01/2014,31/12/2014,21
Latvia,2015,01/01/2015,31/12/2015,21
Latvia,2016,01/01/2016,31/12/2016,21
Latvia,2017,01/01/2017,31/12/2017,21
Latvia,2018,01/01/2018,31/12/2018,21
Latvia,2019,01/01/2019,31/12/2019,21
Lithuania,2003,01/01/2003,31/12/2003,18
Lithuania,2004,01/01/2004,31/12/2004,18
Lithuania,2005,01/01/2005,31/12/2005,18
Lithuania,2006,01/01/2006,31/12/2006,18
Lithuania,2007,01/01/2007,31/12/2007,18
Lithuania,2008,01/01/2008,31/12/2008,18
Lithuania,2009,01/01/2009,01/09/2009,19
Lithuania,2009,01/09/2009,31/12/2009,21
Lithuania,2010,01/01/2010,31/12/2010,21
Lithuania,2011,01/01/2011,31/12/2011,21
Lithuania,2012,01/01/2012,31/12/2012,21
Lithuania,2013,01/01/2013,31/12/2013,21
Lithuania,2014,01/01/2014,31/12/2014,21
Lithuania,2015,01/01/2015,31/12/2015,21
Lithuania,2016,01/01/2016,31/12/2016,21
Lithuania,2017,01/01/2017,31/12/2017,21
Lithuania,2018,01/01/2018,31/12/2018,21
Lithuania,2019,01/01/2019,31/12/2019,21
Luxembourg,2003,01/01/2003,31/12/2003,15
Luxembourg,2004,01/01/2004,31/12/2004,15
Luxembourg,2005,01/01/2005,31/12/2005,15
Luxembourg,2006,01/01/2006,31/12/2006,15
Luxembourg,2007,01/01/2007,31/12/2007,15
Luxembourg,2008,01/01/2008,31/12/2008,15
Luxembourg,2009,01/01/2009,31/12/2009,15
Luxembourg,2010,01/01/2010,31/12/2010,15
Luxembourg,2011,01/01/2011,31/12/2011,15
Luxembourg,2012,01/01/2012,31/12/2012,15
Luxembourg,2013,01/01/2013,31/12/2013,15
Luxembourg,2014,01/01/2014,31/12/2014,15
Luxembourg,2015,01/01/2015,31/12/2015,17
Luxembourg,2016,01/01/2016,31/12/2016,17
Luxembourg,2017,01/01/2017,31/12/2017,17
Luxembourg,2018,01/01/2018,31/12/2018,17
Luxembourg,2019,01/01/2019,31/12/2019,17
Malta,2003,01/01/2003,31/12/2003,15
Malta,2004,01/01/2004,31/12/2004,18
Malta,2005,01/01/2005,31/12/2005,18
Malta,2006,01/01/2006,31/12/2006,18
Malta,2007,01/01/2007,31/12/2007,18
Malta,2008,01/01/2008,31/12/2008,18
Malta,2009,01/01/2009,31/12/2009,18
Malta,2010,01/01/2010,31/12/2010,18
Malta,2011,01/01/2011,31/12/2011,18
Malta,2012,01/01/2012,31/12/2012,18
Malta,2013,01/01/2013,31/12/2013,18
Malta,2014,01/01/2014,31/12/2014,18
Malta,2015,01/01/2015,31/12/2015,18
Malta,2016,01/01/2016,31/12/2016,18
Malta,2017,01/01/2017,31/12/2017,18
Malta,2018,01/01/2018,31/12/2018,18
Malta,2019,01/01/2019,31/12/2019,18
Netherlands,2003,01/01/2003,31/12/2003,19
Netherlands,2004,01/01/2004,31/12/2004,19
Netherlands,2005,01/01/2005,31/12/2005,19
Netherlands,2006,01/01/2006,31/12/2006,19
Netherlands,2007,01/01/2007,31/12/2007,19
Netherlands,2008,01/01/2008,31/12/2008,19
Netherlands,2009,01/01/2009,31/12/2009,19
Netherlands,2010,01/01/2010,31/12/2010,19
Netherlands,2011,01/01/2011,31/12/2011,19
Netherlands,2012,01/01/2012,01/10/2012,19
Netherlands,2012,01/10/2012,31/12/2012,21
Netherlands,2013,01/01/2013,31/12/2013,21
Netherlands,2014,01/01/2014,31/12/2014,21
Netherlands,2015,01/01/2015,31/12/2015,21
Netherlands,2016,01/01/2016,31/12/2016,21
Netherlands,2017,01/01/2017,31/12/2017,21
Netherlands,2018,01/01/2018,31/12/2018,21
Netherlands,2019,01/01/2019,31/12/2019,21
Poland,2003,01/01/2003,31/12/2003,22
Poland,2004,01/01/2004,31/12/2004,22
Poland,2005,01/01/2005,31/12/2005,22
Poland,2006,01/01/2006,31/12/2006,22
Poland,2007,01/01/2007,31/12/2007,22
Poland,2008,01/01/2008,31/12/2008,22
Poland,2009,01/01/2009,31/12/2009,22
Poland,2010,01/01/2010,31/12/2010,22
Poland,2011,01/01/2011,31/12/2011,23
Poland,2012,01/01/2012,31/12/2012,23
Poland,2013,01/01/2013,31/12/2013,23
Poland,2014,01/01/2014,31/12/2014,23
Poland,2015,01/01/2015,31/12/2015,23
Poland,2016,01/01/2016,31/12/2016,23
Poland,2017,01/01/2017,31/12/2017,23
Poland,2018,01/01/2018,31/12/2018,23
Poland,2019,01/01/2019,31/12/2019,23
Portugal,2003,01/01/2003,31/12/2003,19
Portugal,2004,01/01/2004,31/12/2004,19
Portugal,2005,01/01/2005,01/07/2005,19
Portugal,2005,01/07/2005,31/12/2005,21
Portugal,2006,01/01/2006,31/12/2006,21
Portugal,2007,01/01/2007,31/12/2007,21
Portugal,2008,01/01/2008,01/07/2008,21
Portugal,2008,01/07/2008,31/12/2008,20
Portugal,2009,01/01/2009,31/12/2009,20
Portugal,2010,01/01/2010,01/07/2010,20
Portugal,2010,01/07/2010,31/12/2010,21
Portugal,2011,01/01/2011,31/12/2011,23
Portugal,2012,01/01/2012,31/12/2012,23
Portugal,2013,01/01/2013,31/12/2013,23
Portugal,2014,01/01/2014,31/12/2014,23
Portugal,2015,01/01/2015,31/12/2015,23
Portugal,2016,01/01/2016,31/12/2016,23
Portugal,2017,01/01/2017,31/12/2017,23
Portugal,2018,01/01/2018,31/12/2018,23
Portugal,2019,01/01/2019,31/12/2019,23
Slovakia,2003,01/01/2003,31/12/2003,20
Slovakia,2004,01/01/2004,31/12/2004,19
Slovakia,2005,01/01/2005,31/12/2005,19
Slovakia,2006,01/01/2006,31/12/2006,19
Slovakia,2007,01/01/2007,31/12/2007,19
Slovakia,2008,01/01/2008,31/12/2008,19
Slovakia,2009,01/01/2009,31/12/2009,19
Slovakia,2010,01/01/2010,31/12/2010,19
Slovakia,2011,01/01/2011,31/12/2011,20
Slovakia,2012,01/01/2012,31/12/2012,20
Slovakia,2013,01/01/2013,31/12/2013,20
Slovakia,2014,01/01/2014,31/12/2014,20
Slovakia,2015,01/01/2015,31/12/2015,20
Slovakia,2016,01/01/2016,31/12/2016,20
Slovakia,2017,01/01/2017,31/12/2017,20
Slovakia,2018,01/01/2018,31/12/2018,20
Slovakia,2019,01/01/2019,31/12/2019,20
Slovenia,2003,01/01/2003,31/12/2003,20
Slovenia,2004,01/01/2004,31/12/2004,20
Slovenia,2005,01/01/2005,31/12/2005,20
Slovenia,2006,01/01/2006,31/12/2006,20
Slovenia,2007,01/01/2007,31/12/2007,20
Slovenia,2008,01/01/2008,31/12/2008,20
Slovenia,2009,01/01/2009,31/12/2009,20
Slovenia,2010,01/01/2010,31/12/2010,20
Slovenia,2011,01/01/2011,31/12/2011,20
Slovenia,2012,01/01/2012,31/12/2012,20
Slovenia,2013,01/01/2013,01/07/2013,20
Slovenia,2013,01/07/2013,31/12/2013,22
Slovenia,2014,01/01/2014,31/12/2014,22
Slovenia,2015,01/01/2015,31/12/2015,22
Slovenia,2016,01/01/2016,31/12/2016,22
Slovenia,2017,01/01/2017,31/12/2017,22
Slovenia,2018,01/01/2018,31/12/2018,22
Slovenia,2019,01/01/2019,31/12/2019,22
Spain,2003,01/01/2003,31/12/2003,16
Spain,2004,01/01/2004,31/12/2004,16
Spain,2005,01/01/2005,31/12/2005,16
Spain,2006,01/01/2006,31/12/2006,16
Spain,2007,01/01/2007,31/12/2007,16
Spain,2008,01/01/2008,31/12/2008,16
Spain,2009,01/01/2009,31/12/2009,16
Spain,2010,01/01/2010,01/07/2010,16
Spain,2010,01/07/2010,31/12/2010,18
Spain,2011,01/01/2011,31/12/2011,18
Spain,2012,01/01/2012,01/09/2012,18
Spain,2012,01/09/2012,31/12/2012,21
Spain,2013,01/01/2013,31/12/2013,21
Spain,2014,01/01/2014,31/12/2014,21
Spain,2015,01/01/2015,31/12/2015,21
Spain,2016,01/01/2016,31/12/2016,21
Spain,2017,01/01/2017,31/12/2017,21
Spain,2018,01/01/2018,31/12/2018,21
Spain,2019,01/01/2019,31/12/2019,21
Sweden,2003,01/01/2003,31/12/2003,25
Sweden,2004,01/01/2004,31/12/2004,25
Sweden,2005,01/01/2005,31/12/2005,25
Sweden,2006,01/01/2006,31/12/2006,25
Sweden,2007,01/01/2007,31/12/2007,25
Sweden,2008,01/01/2008,31/12/2008,25
Sweden,2009,01/01/2009,31/12/2009,25
Sweden,2010,01/01/2010,31/12/2010,25
Sweden,2011,01/01/2011,31/12/2011,25
Sweden,2012,01/01/2012,31/12/2012,25
Sweden,2013,01/01/2013,31/12/2013,25
Sweden,2014,01/01/2014,31/12/2014,25
Sweden,2015,01/01/2015,31/12/2015,25
Sweden,2016,01/01/2016,31/12/2016,25
Sweden,2017,01/01/2017,31/12/2017,25
Sweden,2018,01/01/2018,31/12/2018,25
Sweden,2019,01/01/2019,31/12/2019,25
United Kingdom,2003,01/01/2003,31/12/2003,17.5
United Kingdom,2004,01/01/2004,31/12/2004,17.5
United Kingdom,2005,01/01/2005,31/12/2005,17.5
United Kingdom,2006,01/01/2006,31/12/2006,17.5
United Kingdom,2007,01/01/2007,31/12/2007,17.5
United Kingdom,2008,01/01/2008,01/12/2008,17.5
United Kingdom,2008,01/12/2008,31/12/2008,15
United Kingdom,2009,01/12/2009,31/12/2009,15
United Kingdom,2010,01/12/2010,31/12/2010,17.5
United Kingdom,2011,01/01/2011,04/01/2011,17.5
United Kingdom,2011,04/01/2011,31/12/2011,20
United Kingdom,2012,01/01/2012,31/12/2012,20
United Kingdom,2013,01/01/2013,31/12/2013,20
United Kingdom,2014,01/01/2014,31/12/2014,20
United Kingdom,2015,01/01/2015,31/12/2015,20
United Kingdom,2016,01/01/2016,31/12/2016,20
United Kingdom,2017,01/01/2017,31/12/2017,20
United Kingdom,2018,01/01/2018,31/12/2018,20
United Kingdom,2019,01/01/2019,31/12/2019,20
